"","ID","group","full_ID","rnaseq_ID","sra","age","Q0.00","Q1.00","Q1.50","Q2.00","Q3.00","Q4.00"
"15","1305","YMT16","YM.16wk.8","D16","SRR5344335","old","89.667","9.7189635490492","5.02095425646235","3.76443871383722","2.96141563776365","2.66819064288065"
"13","1009","YMT16","YM.16wk.3","D15","SRR5344336","old","92.9415","10.7454922045622","5.91353283027484","4.53119063759301","3.58759328625219","3.2193381382401"
"14","1026","YMT16","YM.16wk.4","D14","SRR5344337","old","82.0525","9.55946850706951","4.42996651853782","3.13344927979444","2.4151280297372","2.19221520943941"
"16","999","YMT16","YM.16wk.1","D13","SRR5344338","old","554.527","384.292833890906","260.517752213278","162.649916180579","81.2828003376934","57.2140008993253"
"5","1301","SMT16","SM.16wk.6","C12","SRR5344340","old","139.062","54.7499206313836","30.684277185907","19.3499555418711","11.703094856733","9.32025730184383"
"4","1298","SMT16","SM.16wk.5","C11","SRR5344341","old","137.5925","16.1896104324963","6.20636534253238","4.06214349354691","2.971963945729","2.6412707091999"
"3","1015","SMT16","SM.16wk.2","C10","SRR5344342","old","159.7085","32.0174537375442","16.2227100466546","11.2690971928","8.08373774628914","6.92170011168437"
"8","940","WT16","WT.16wk.7","B8","SRR5344343","old","76.2395","11.7308904499004","6.98576646456444","5.51575073716157","4.47374791226532","4.03259696971968"
"7","938","WT16","WT.16wk.6","B7","SRR5344344","old","183.4635","40.5067665514389","17.7082945895549","11.0456528553166","7.39677458176549","6.26595711821514"
"6","402","WT16","WT.16wk.2","B6","SRR5344345","old","60.759","14.8941783729232","9.29686427642133","6.89745066418495","4.99985961302287","4.27977062535888"
"12","1414","YI6","YI.6wk.4","A18","SRR5344347","young","334.1155","181.300192366122","118.244670283275","79.6676192684674","47.2917079074026","35.8003377137399"
"9","1403","YI6","YI.6wk.1","A17","SRR5344348","young","411.7195","320.677234186574","276.566531846047","237.839369218306","180.977357515367","146.5217465951"
"11","1412","YI6","YI.6wk.3","A3","SRR5344349","young","642.306","564.300874132442","492.619208711715","397.387784584239","228.537527126756","150.412101200091"
"10","1409","YI6","YI.6wk.2","A2","SRR5344350","young","391.336","216.414723093","103.522617171203","46.1466912773776","19.7024006850495","14.1736940037593"
