ensgene,YM.16wk.8,YM.16wk.3,YM.16wk.4,YM.16wk.1,SM.16wk.6,SM.16wk.5,SM.16wk.2,WT.16wk.7,WT.16wk.6,WT.16wk.2,YI.6wk.4,YI.6wk.1,YI.6wk.3,YI.6wk.2
ENSNFUG00015000040,0,15,1,0,0,2,1,1,0,1,0,1,1,0
ENSNFUG00015000041,21,12,18,22,36,33,29,26,15,25,10,19,25,24
ENSNFUG00015000042,353,347,507,543,514,606,435,481,441,486,463,449,510,425
ENSNFUG00015000043,1476,1267,782,925,1140,1701,967,2136,2080,2566,1095,1028,1449,912
ENSNFUG00015000044,101,85,84,85,134,113,64,117,124,125,135,142,116,125
ENSNFUG00015000045,231,153,319,302,309,320,252,327,347,282,254,213,261,190
ENSNFUG00015000046,5,8,17,7,20,8,13,13,6,6,2,13,14,8
ENSNFUG00015000047,288,284,408,427,459,446,368,427,429,442,439,445,454,417
ENSNFUG00015000048,84,64,152,116,119,100,109,128,154,126,127,111,116,97
ENSNFUG00015000049,700,496,632,736,780,662,450,787,904,867,503,609,608,498
ENSNFUG00015000050,256,143,281,291,279,269,243,330,291,294,220,272,256,245
ENSNFUG00015000051,509,345,535,516,481,512,500,646,763,751,550,502,461,410
ENSNFUG00015000052,175,145,157,219,190,206,167,186,217,258,193,139,157,125
ENSNFUG00015000053,4,0,7,10,6,8,6,2,2,3,1,8,2,5
ENSNFUG00015000054,274,244,426,478,461,444,291,404,388,396,527,564,426,507
ENSNFUG00015000055,18,20,54,40,40,53,44,26,32,11,47,68,49,58
ENSNFUG00015000056,6,8,10,6,7,8,4,5,4,5,7,10,10,7
ENSNFUG00015000058,633,522,783,807,779,799,677,903,865,866,729,839,807,705
ENSNFUG00015000063,79,63,122,98,106,81,86,84,100,114,103,100,78,95
ENSNFUG00015000126,517,288,463,566,578,579,389,552,565,588,459,543,545,475
ENSNFUG00015000127,248,325,326,348,363,338,295,259,235,276,530,498,608,450
ENSNFUG00015000133,24,20,25,44,42,34,25,32,44,38,36,47,43,32
ENSNFUG00015000165,0,1,0,0,1,1,0,0,0,1,1,0,1,2
