"Gene.stable.ID","HGNC.symbol","Gene.stable.ID.1"
"ENSNFUG00015000007","MT-ND1","ENSG00000198888"
"ENSNFUG00015000017","MT-CO1","ENSG00000198804"
"ENSNFUG00015000036","MT-CYB","ENSG00000198727"
"ENSNFUG00015000024","MT-CO3","ENSG00000198938"
"ENSNFUG00015000023","MT-ATP6","ENSG00000198899"
"ENSNFUG00015000029","MT-ND4","ENSG00000198886"
"ENSNFUG00015000034","MT-ND6","ENSG00000198695"
"ENSNFUG00015001778","MT-ATP6","ENSG00000198899"
"ENSNFUG00015000020","MT-CO2","ENSG00000198712"
"ENSNFUG00015000026","MT-ND3","ENSG00000198840"
"ENSNFUG00015000011","MT-ND2","ENSG00000198763"
"ENSNFUG00015000033","MT-ND5","ENSG00000198786"
"ENSNFUG00015009075","","ENSG00000277196"
"ENSNFUG00015017656","","ENSG00000278817"
"ENSNFUG00015021596","","ENSG00000277196"
"ENSNFUG00015018133","","ENSG00000276345"
"ENSNFUG00015013819","","ENSG00000273748"
"ENSNFUG00015009420","","ENSG00000273554"
"ENSNFUG00015016476","DACH1","ENSG00000276644"
"ENSNFUG00015024173","ADA2","ENSG00000093072"
"ENSNFUG00015024101","GTF3A","ENSG00000122034"
"ENSNFUG00015021104","GATD3B","ENSG00000280071"
"ENSNFUG00015021104","","ENSG00000276612"
"ENSNFUG00015008158","FNDC3A","ENSG00000102531"
"ENSNFUG00015017378","TMEM200C","ENSG00000206432"
"ENSNFUG00015005329","TGIF2LY","ENSG00000176679"
"ENSNFUG00015014912","RPS4Y2","ENSG00000280969"
"ENSNFUG00015014912","RPS4Y1","ENSG00000129824"
"ENSNFUG00015010084","SLC25A15","ENSG00000102743"
"ENSNFUG00015000411","PSMG2","ENSG00000128789"
"ENSNFUG00015024085","GPR12","ENSG00000132975"
"ENSNFUG00015013547","B3GLCT","ENSG00000187676"
"ENSNFUG00015005740","NCAM2","ENSG00000154654"
"ENSNFUG00015002622","PSPC1","ENSG00000121390"
"ENSNFUG00015014729","NDC80","ENSG00000080986"
"ENSNFUG00015015438","POSTN","ENSG00000133110"
"ENSNFUG00015017040","KLHL14","ENSG00000197705"
"ENSNFUG00015010212","SLC25A15","ENSG00000102743"
"ENSNFUG00015001495","SPRY2","ENSG00000136158"
"ENSNFUG00015022398","LTN1","ENSG00000198862"
"ENSNFUG00015006467","SRY","ENSG00000184895"
"ENSNFUG00015025218","NLGN4Y","ENSG00000165246"
"ENSNFUG00015012181","USP9Y","ENSG00000114374"
"ENSNFUG00015016481","MAPRE2","ENSG00000166974"
"ENSNFUG00015004511","","ENSG00000256566"
"ENSNFUG00015006692","OSBPL1A","ENSG00000141447"
"ENSNFUG00015020558","KDM5D","ENSG00000012817"
"ENSNFUG00015013294","MTCL1","ENSG00000168502"
"ENSNFUG00015024733","GART","ENSG00000159131"
"ENSNFUG00015013464","SRY","ENSG00000184895"
"ENSNFUG00015018674","OSBPL1A","ENSG00000141447"
"ENSNFUG00015005228","APP","ENSG00000142192"
"ENSNFUG00015013014","MPPE1","ENSG00000154889"
"ENSNFUG00015006880","C1QTNF9","ENSG00000240654"
"ENSNFUG00015008334","CLUL1","ENSG00000079101"
"ENSNFUG00015016505","KLF5","ENSG00000102554"
"ENSNFUG00015024083","WASF3","ENSG00000132970"
"ENSNFUG00015013595","USPL1","ENSG00000132952"
"ENSNFUG00015008301","CRYL1","ENSG00000165475"
"ENSNFUG00015019198","MIPEP","ENSG00000027001"
"ENSNFUG00015016708","SCEL","ENSG00000136155"
"ENSNFUG00015006219","PAN3","ENSG00000152520"
"ENSNFUG00015007708","CHAF1B","ENSG00000159259"
